   101,   -28,   993
    64,   -23,  1010
    65,    -8,  1006
    72,    -9,  1001
    59,   -11,  1003
    57,    58,   982
   104,    84,   964
   144,    16,   890
   144,   -40,   936
   153,  -135,   970
   183,  -154,  1001
   130,  -116,   987
    99,   -80,   992
    60,   -31,  1035
   -58,    63,  1032
   -73,    84,   943
   -50,   112,   940
   -28,   105,   954
   -15,    25,  1008
     4,   -59,  1040
   -17,   -94,  1114
   -32,   -84,  1149
   -25,   -65,  1040
    23,   -59,   840
    93,   -55,   783
   177,   -33,   865
   160,   -21,  1021
   -17,    61,  1274
   -85,    51,  1169
   -46,    -3,   921
    -4,   -28,   796
    21,   -10,   891
    35,   -13,  1115
     0,   -70,  1204
   -26,  -104,  1051
    35,   -67,   785
   138,   -53,   722
   193,   -23,   971
    97,    26,  1260
   -30,    65,  1266
   -12,     7,   937
    37,   -55,   717
    77,   -66,   840
    74,   -55,  1151
    38,  -100,  1258
    22,  -114,  1054
    68,   -58,   750
   131,   -41,   692
   170,   -36,   990
    35,    53,  1323
   -89,    98,  1260
   -48,    33,   933
     7,   -30,   695
    48,   -82,   782
     1,   -88,  1147
   -77,  -112,  1328
   -44,  -147,  1105
    15,   -90,   771
    72,   -77,   647
   100,   -70,  1029
    71,     4,  1323
   -67,    80,  1277
   -76,    38,   992
   -15,   -20,   713
    44,  -100,   724
    29,  -108,  1084
    20,  -126,  1240
   -12,  -129,  1115
    33,   -69,   799
    93,   -37,   646
    67,   -13,   950
   106,    37,  1229
    64,   120,  1256
    -3,    83,  1077
    12,    -4,   771
    19,   -68,   741
    19,  -104,   977
    72,  -141,  1196
    34,  -152,  1200
    53,  -132,   860
    97,   -82,   661
   126,   -23,   840
   164,    -4,  1097
    38,    52,  1240
   -99,    63,  1151
   -61,     8,   846
     7,   -56,   701
    17,  -152,   812
   -25,  -166,  1198
   -53,  -201,  1256
   -33,  -147,   975
    48,   -55,   728
   104,    -8,   775
    60,    47,  1065
   -29,   109,  1284
  -111,    95,  1218
   -93,    23,   899
   -48,   -57,   750
   -54,  -157,   855
   -40,  -217,  1193
   -93,  -216,  1191
   -49,  -175,   930
    15,   -43,   785
    58,   -35,   879
    68,   -17,  1026
   -55,    54,  1210
  -171,    73,  1187
  -106,    12,   874
   -35,   -37,   779
   -16,   -82,   898
   -14,  -129,  1129
   -74,  -112,  1208
   -51,  -124,   984
     5,   -72,   765
    80,   -34,   807
    75,   -16,  1048
    35,    42,  1220
   -85,    69,  1208
  -104,    46,   977
   -50,    -6,   765
    -8,   -60,   817
   -25,  -126,  1071
   -55,  -125,  1142
   -10,  -156,  1014
    42,  -106,   826
   104,   -71,   818
   115,   -43,   990
    87,   -34,  1199
    -6,    28,  1189
   -34,    25,   955
   -10,    -5,   800
     6,   -59,   897
   -50,   -84,  1121
   -32,   -77,  1165
    -8,  -111,  1026
    20,   -56,   802
    57,   -36,   808
    59,   -52,  1009
    25,   -28,  1203
   -31,    34,  1175
   -89,    38,   997
   -56,    10,   825
   -61,   -44,   895
  -114,  -114,  1108
  -115,  -142,  1154
   -92,  -138,   992
    14,   -91,   809
    75,   -83,   868
    90,   -80,  1023
    11,   -44,  1184
   -50,    -7,  1132
   -25,   -19,   914
    -4,   -54,   833
   -40,   -82,   918
  -106,  -132,  1093
   -87,  -101,  1161
   -45,   -67,   997
    36,   -38,   863
   113,   -41,   892
   121,     9,  1053
     5,    53,  1234
   -91,    53,  1141
   -68,    15,   866
   -64,   -16,   795
   -66,   -61,   921
  -138,   -70,  1137
  -108,   -90,  1203
   -68,   -85,   978
     1,   -47,   778
    42,   -33,   849
    26,   -29,  1063
   -46,    18,  1215
   -95,    60,  1165
   -37,    -2,   871
   -18,   -62,   778
   -30,  -155,   907
   -86,  -149,  1245
   -74,  -147,  1226
   -32,   -82,   916
    68,   -42,   696
   117,   -22,   805
   129,   -13,  1122
   -11,     4,  1245
   -71,    34,  1126
   -24,    -1,   857
    37,   -42,   708
    21,   -61,   878
    -1,  -136,  1152
   -27,  -163,  1238
     5,  -116,   969
    82,   -57,   728
   116,   -25,   838
   120,   -46,  1095
    34,   -24,  1168
    18,     5,  1092
    55,    -6,   795
    96,   -36,   673
    71,   -51,   948
    39,   -85,  1236
    32,  -146,  1224
     8,   -97,   925
    79,   -46,   735
   134,   -67,   933
   140,   -47,  1136
    89,    20,  1132
    43,    29,  1008
    90,    13,   778
   106,   -54,   753
    25,  -110,   979
    -8,  -157,  1205
   -33,  -173,  1204
    -1,  -114,   868
    30,   -61,   771
    89,   -75,   901
    58,   -85,  1212
   -17,   -31,  1167
   -88,   -19,   999
   -73,   -19,   769
    -7,   -68,   751
  -107,  -130,  1110
  -167,  -114,  1241
  -175,  -151,  1142
   -51,  -132,   814
     8,   -77,   811
   -12,   -19,  1024
   -64,    16,  1203
   -86,    44,  1170
   -99,    15,   965
   -52,   -49,   785
   -62,  -103,   900
   -86,  -145,  1152
   -62,  -160,  1218
   -18,  -139,   988
    23,   -72,   811
    91,   -46,   874
    71,   -61,  1087
   -38,   -28,  1150
   -87,   -27,  1110
   -47,   -39,   862
    20,   -70,   772
     2,  -109,   917
     0,  -144,  1169
   -28,  -201,  1173
   -41,  -165,   962
    44,  -122,   807
   124,   -66,   902
   120,   -67,  1096
    21,   -16,  1186
   -20,    13,  1086
    -1,    -5,   879
    27,   -53,   800
    -1,   -91,   951
    13,   -87,  1183
     8,  -128,  1170
    27,  -121,   941
    83,   -64,   819
   167,   -68,   896
   156,   -85,  1055
    54,   -46,  1162
     3,    10,  1095
    10,    -3,   895
    37,   -44,   817
    25,   -87,   943
   -16,  -111,  1210
     7,  -163,  1182
     8,  -126,   962
    62,   -69,   833
   131,   -30,   885
   107,   -46,  1082
    39,   -30,  1134
     6,    -1,  1078
    15,     2,   907
    34,   -31,   832
    36,   -66,   942
    33,   -87,  1137
    22,  -142,  1141
    46,  -119,   937
   100,   -69,   791
   165,   -53,   874
   104,   -61,  1043
    34,   -32,  1168
    -1,    10,  1151
    13,   -11,   974
    83,    12,   830
    51,   -31,   924
    92,   -97,  1068
    47,   -63,  1052
    39,   -43,  1061
   120,   -50,   983
   149,    -1,  1006
   152,     8,   906
   203,    39,   889
   193,    16,   952
   179,   -14,   952
   178,   -23,  1007
   184,   -43,   961
   185,   -36,   978
   174,   -37,   992
   203,   -42,   982
