    95,    17,   987
    83,     6,  1009
    90,    22,  1005
   122,    19,  1000
   172,    48,   948
   155,    19,   840
   145,    28,   826
   186,    55,   809
   286,    52,   946
   530,   -73,  1260
   420,   -69,   996
   339,    35,   856
   162,   -25,  1385
   131,  -115,  1348
   -67,  -124,  1070
  -214,  -116,  1295
   -88,     7,  1089
    28,    46,   888
     8,    23,   963
   -52,  -135,   947
   -56,   -77,   902
   -16,    23,  1245
  -243,   144,  1116
   227,   354,   883
    31,  -165,  1121
  -208,  -235,  1167
  -500,   -79,  1368
  -177,    18,  1115
    87,   165,   775
    18,   159,   858
  -128,  -174,  1111
  -227,  -183,  1088
  -468,     1,  1161
  -275,   128,  1212
  -373,   379,  1171
  -181,  -252,  1142
  -108,  -327,   803
  -168,  -112,   911
    16,    86,   929
   203,   223,   906
    81,   -97,   944
    82,  -255,   927
  -210,  -273,  1029
   -75,    71,   940
    26,   176,   767
    63,   223,   775
   -85,   -74,  1292
  -267,  -168,  1188
    64,   -86,  1338
   148,   215,  1174
     2,   208,  1190
  -401,  -308,   969
  -227,  -511,  1140
   -12,  -118,  1199
    82,   289,   880
   304,   357,   801
    30,   -29,   863
     2,  -467,   881
  -405,  -387,  1277
  -211,     8,  1297
   -88,   156,  1230
   161,   415,  1144
  -247,   -48,  1325
  -182,   -64,  1163
  -354,  -421,  1090
  -620,  -285,  1565
  -202,   -61,  1052
   -59,   112,   822
   295,   106,  1192
   255,   -57,   996
  -156,  -246,  1186
   -97,  -378,  1475
    90,  -235,  1153
    16,  -103,   966
  -536,   109,  1503
  -152,  -283,  1147
  -203,  -301,   858
    29,   -90,  1141
  -143,    54,  1078
  -208,   128,  1192
   -11,   228,  1082
    27,    91,   959
    51,    37,  1024
   -31,    -9,  1135
    22,     5,   893
    75,    -6,   885
    43,    31,   939
    16,    71,  1008
   -55,    -8,   901
   -36,    32,   951
   -24,     0,  1024
     8,   -27,  1011
    46,   -29,   994
    11,   -72,  1014
    54,  -146,  1010
    55,  -131,   969
    69,  -111,   985
    45,   -79,   986
    56,   -70,   974
